example_id,fidelity_level,feasible,tokens,state,achieved_fidelity,answer_f1,fact_recall
5a711c535542994082a3e59b,0.08695652173913043,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.14285714285714288,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.16666666666666666,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.18181818181818182,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.22222222222222224,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.25,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.2857142857142857,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.30769230769230765,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.3333333333333333,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.3636363636363636,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.4,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.4444444444444445,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.5,True,13,"[0, 0, 1, 0, 0, 0]",0.5,0.5714285714285715,0.5
5a711c535542994082a3e59b,0.5714285714285715,True,31,"[0, 0, 1, 1, 0, 0]",0.5714285714285715,0.5714285714285715,1.0
5a711c535542994082a3e59b,0.6666666666666666,False,,,,,
5a711c535542994082a3e59b,0.7499999999999999,False,,,,,
5a711c535542994082a3e59b,1.0,False,,,,,
5a72df275542992359bc31b3,0.08695652173913043,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.14285714285714288,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.16666666666666666,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.18181818181818182,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.22222222222222224,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.25,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.2857142857142857,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.30769230769230765,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.3333333333333333,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.3636363636363636,True,77,"[0, 0, 0, 0, 2, 0]",0.3636363636363636,0.3636363636363636,0.5
5a72df275542992359bc31b3,0.4,False,,,,,
5a72df275542992359bc31b3,0.4444444444444445,False,,,,,
5a72df275542992359bc31b3,0.5,False,,,,,
5a72df275542992359bc31b3,0.5714285714285715,False,,,,,
5a72df275542992359bc31b3,0.6666666666666666,False,,,,,
5a72df275542992359bc31b3,0.7499999999999999,False,,,,,
5a72df275542992359bc31b3,1.0,False,,,,,
5a749af055429979e28829b7,0.08695652173913043,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.14285714285714288,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.16666666666666666,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.18181818181818182,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.22222222222222224,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.25,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.2857142857142857,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.30769230769230765,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.3333333333333333,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.3636363636363636,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.4,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.4444444444444445,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
5a749af055429979e28829b7,0.5,True,168,"[2, 0, 2, 1, 2, 0]",0.5,1.0,0.5
